Timestamp,Detection Status,Number of Circles
2025-03-13 07:20:37.726720,Missed,0
2025-03-13 07:20:38.317363,Missed,0
2025-03-13 07:20:38.508489,Missed,0
2025-03-13 07:20:38.640151,Missed,0
2025-03-13 07:20:38.803661,Missed,0
2025-03-13 07:20:38.970265,Missed,0
2025-03-13 07:20:39.137614,Missed,0
2025-03-13 07:20:39.269013,Missed,0
2025-03-13 07:20:39.401553,Missed,0
2025-03-13 07:20:39.533990,Missed,0
2025-03-13 07:20:39.637476,Missed,0
2025-03-13 07:20:39.768178,Missed,0
2025-03-13 07:20:39.905355,Missed,0
2025-03-13 07:20:40.044669,Missed,0
2025-03-13 07:20:40.172400,Missed,0
2025-03-13 07:20:40.306983,Missed,0
2025-03-13 07:20:40.442193,Missed,0
2025-03-13 07:20:40.576635,Missed,0
2025-03-13 07:20:40.708099,Detected,1
2025-03-13 07:20:40.839253,Detected,1
2025-03-13 07:20:40.973472,Missed,0
2025-03-13 07:20:41.105933,Missed,0
2025-03-13 07:20:41.239130,Missed,0
2025-03-13 07:20:41.375658,Missed,0
2025-03-13 07:20:41.501539,Missed,0
2025-03-13 07:20:41.635120,Missed,0
2025-03-13 07:20:41.768981,Missed,0
2025-03-13 07:20:41.904167,Missed,0
2025-03-13 07:20:42.218368,Missed,0
2025-03-13 07:20:42.334263,Detected,1
2025-03-13 07:20:42.468142,Missed,0
2025-03-13 07:20:42.602457,Missed,0
2025-03-13 07:20:42.735778,Missed,0
2025-03-13 07:20:42.844443,Missed,0
2025-03-13 07:20:42.970077,Missed,0
2025-03-13 07:20:43.101510,Detected,1
2025-03-13 07:20:43.238616,Missed,0
2025-03-13 07:20:43.368989,Missed,0
2025-03-13 07:20:43.500882,Missed,0
2025-03-13 07:20:43.636006,Missed,0
2025-03-13 07:20:43.773402,Missed,0
2025-03-13 07:20:43.904365,Detected,1
2025-03-13 07:20:44.035394,Missed,0
2025-03-13 07:20:44.166730,Missed,0
2025-03-13 07:20:44.300337,Detected,1
2025-03-13 07:20:44.432761,Missed,0
2025-03-13 07:20:44.567191,Missed,0
2025-03-13 07:20:44.699940,Missed,0
2025-03-13 07:20:44.832957,Missed,0
2025-03-13 07:20:44.966299,Detected,1
2025-03-13 07:20:45.098368,Missed,0
2025-03-13 07:20:45.232994,Detected,1
2025-03-13 07:20:45.365399,Missed,0
2025-03-13 07:20:45.504776,Missed,0
2025-03-13 07:20:45.633159,Missed,0
2025-03-13 07:20:45.770755,Detected,1
2025-03-13 07:20:45.902930,Detected,1
2025-03-13 07:20:46.036427,Missed,0
2025-03-13 07:20:46.170152,Detected,1
2025-03-13 07:20:46.298325,Missed,0
2025-03-13 07:20:46.432554,Missed,0
2025-03-13 07:20:46.565951,Missed,0
2025-03-13 07:20:46.698391,Missed,0
2025-03-13 07:20:46.830659,Detected,1
2025-03-13 07:20:46.963533,Missed,0
2025-03-13 07:20:47.095558,Missed,0
2025-03-13 07:20:47.197425,Missed,0
2025-03-13 07:20:47.299663,Missed,0
2025-03-13 07:20:47.429557,Missed,0
2025-03-13 07:20:47.563157,Missed,0
2025-03-13 07:20:47.698530,Detected,1
2025-03-13 07:20:47.830236,Detected,1
2025-03-13 07:20:47.963705,Detected,1
2025-03-13 07:20:48.096387,Detected,1
2025-03-13 07:20:48.229445,Detected,1
2025-03-13 07:20:48.339514,Detected,1
2025-03-13 07:20:48.462671,Detected,1
2025-03-13 07:20:48.571370,Missed,0
2025-03-13 07:20:48.695171,Detected,1
2025-03-13 07:20:48.802039,Missed,0
2025-03-13 07:20:48.929784,Missed,0
2025-03-13 07:20:49.064261,Missed,0
2025-03-13 07:20:49.198552,Missed,0
2025-03-13 07:20:49.331487,Missed,0
2025-03-13 07:20:49.462479,Missed,0
2025-03-13 07:20:49.568802,Missed,0
2025-03-13 07:20:49.695258,Missed,0
2025-03-13 07:20:49.805808,Missed,0
2025-03-13 07:20:49.907093,Missed,0
2025-03-13 07:20:50.030160,Missed,0
2025-03-13 07:20:50.163259,Missed,0
2025-03-13 07:20:50.268709,Missed,0
2025-03-13 07:20:50.397601,Missed,0
2025-03-13 07:20:50.534029,Missed,0
2025-03-13 07:20:50.663539,Missed,0
2025-03-13 07:20:50.798395,Missed,0
2025-03-13 07:20:50.928923,Missed,0
2025-03-13 07:20:51.062317,Missed,0
2025-03-13 07:20:51.195082,Missed,0
2025-03-13 07:20:51.294555,Missed,0
2025-03-13 07:20:51.398684,Missed,0
2025-03-13 07:20:51.530657,Missed,0
2025-03-13 07:20:51.632872,Missed,0
2025-03-13 07:20:51.764277,Missed,0
2025-03-13 07:20:51.862596,Missed,0
2025-03-13 07:20:51.963144,Detected,1
2025-03-13 07:20:52.063275,Detected,1
2025-03-13 07:20:52.163496,Missed,0
2025-03-13 07:20:52.262906,Missed,0
2025-03-13 07:20:52.394458,Detected,1
2025-03-13 07:20:52.494125,Detected,1
2025-03-13 07:20:52.596103,Detected,1
2025-03-13 07:20:52.727880,Detected,1
2025-03-13 07:20:52.828644,Detected,1
2025-03-13 07:20:52.928887,Detected,1
2025-03-13 07:20:53.060750,Detected,1
2025-03-13 07:20:53.160393,Detected,1
2025-03-13 07:20:53.261391,Detected,1
2025-03-13 07:20:53.361875,Detected,1
2025-03-13 07:20:53.463356,Detected,1
2025-03-13 07:20:53.593177,Missed,0
2025-03-13 07:20:53.693296,Detected,1
2025-03-13 07:20:53.795154,Missed,0
2025-03-13 07:20:53.895158,Missed,0
2025-03-13 07:20:54.160025,Detected,1
2025-03-13 07:20:54.260403,Missed,0
2025-03-13 07:20:54.362482,Missed,0
2025-03-13 07:20:54.494693,Missed,0
2025-03-13 07:20:54.593947,Missed,0
2025-03-13 07:20:54.693916,Missed,0
2025-03-13 07:20:54.794970,Missed,0
2025-03-13 07:20:54.894846,Missed,0
2025-03-13 07:20:54.995178,Missed,0
2025-03-13 07:20:55.128660,Missed,0
2025-03-13 07:20:55.259635,Missed,0
2025-03-13 07:20:55.359177,Missed,0
2025-03-13 07:20:55.461805,Missed,0
2025-03-13 07:20:55.592748,Missed,0
2025-03-13 07:20:55.693558,Missed,0
2025-03-13 07:20:55.793455,Missed,0
2025-03-13 07:20:55.894426,Missed,0
2025-03-13 07:20:55.996174,Missed,0
2025-03-13 07:20:56.127473,Detected,1
2025-03-13 07:20:56.259304,Missed,0
2025-03-13 07:20:56.364023,Missed,0
2025-03-13 07:20:56.495197,Missed,0
2025-03-13 07:20:56.625877,Detected,1
2025-03-13 07:20:56.726407,Detected,1
2025-03-13 07:20:56.825331,Detected,1
2025-03-13 07:20:56.928428,Detected,1
2025-03-13 07:20:57.059447,Missed,0
2025-03-13 07:20:57.159715,Detected,1
2025-03-13 07:20:57.292584,Missed,0
2025-03-13 07:20:57.426176,Missed,0
2025-03-13 07:20:57.558439,Missed,0
2025-03-13 07:20:57.658689,Detected,1
2025-03-13 07:20:57.760385,Detected,1
2025-03-13 07:20:57.892851,Detected,1
2025-03-13 07:20:57.992304,Detected,1
2025-03-13 07:20:58.092119,Detected,1
2025-03-13 07:20:58.192899,Detected,1
2025-03-13 07:20:58.326501,Detected,1
2025-03-13 07:20:58.458350,Missed,0
2025-03-13 07:20:58.590921,Missed,0
2025-03-13 07:20:58.724515,Detected,1
2025-03-13 07:20:58.828973,Missed,0
2025-03-13 07:20:58.957539,Missed,0
2025-03-13 07:20:59.092405,Missed,0
2025-03-13 07:20:59.202481,Detected,1
2025-03-13 07:20:59.325456,Missed,0
2025-03-13 07:20:59.423370,Detected,1
2025-03-13 07:20:59.522906,Missed,0
2025-03-13 07:20:59.622811,Missed,0
2025-03-13 07:20:59.724844,Detected,1
2025-03-13 07:20:59.823841,Detected,1
2025-03-13 07:20:59.925162,Missed,0
2025-03-13 07:21:00.023922,Missed,0
2025-03-13 07:21:00.125007,Detected,1
2025-03-13 07:21:00.255488,Missed,0
2025-03-13 07:21:00.357644,Missed,0
2025-03-13 07:21:00.490181,Detected,1
2025-03-13 07:21:00.624828,Missed,0
2025-03-13 07:21:00.725949,Missed,0
