Timestamp,Detection Status,Number of Circles
2025-03-13 09:46:50.330945,Missed,0
2025-03-13 09:46:51.455970,Missed,0
2025-03-13 09:46:51.822488,Missed,0
2025-03-13 09:46:52.165055,Missed,0
2025-03-13 09:46:52.563028,Missed,0
2025-03-13 09:46:52.954204,Missed,0
2025-03-13 09:46:53.276760,Missed,0
2025-03-13 09:46:53.551552,Missed,0
2025-03-13 09:46:53.854363,Missed,0
2025-03-13 09:46:54.148389,Missed,0
2025-03-13 09:46:54.453905,Missed,0
2025-03-13 09:46:54.711467,Missed,0
2025-03-13 09:46:54.974129,Missed,0
2025-03-13 09:46:55.201780,Missed,0
2025-03-13 09:46:55.442903,Missed,0
2025-03-13 09:46:55.708889,Missed,0
2025-03-13 09:46:55.966674,Detected,1
2025-03-13 09:46:56.200082,Missed,0
2025-03-13 09:46:56.441700,Missed,0
2025-03-13 09:46:56.709858,Missed,0
2025-03-13 09:46:57.011058,Missed,0
2025-03-13 09:46:57.274871,Missed,0
2025-03-13 09:46:57.502465,Missed,0
2025-03-13 09:46:57.734981,Missed,0
2025-03-13 09:46:57.976897,Missed,0
2025-03-13 09:46:58.241436,Missed,0
2025-03-13 09:46:58.517302,Missed,0
2025-03-13 09:46:58.837089,Missed,0
2025-03-13 09:46:59.108125,Missed,0
2025-03-13 09:46:59.362498,Missed,0
2025-03-13 09:46:59.605146,Detected,1
2025-03-13 09:46:59.850160,Missed,0
2025-03-13 09:47:00.146725,Missed,0
2025-03-13 09:47:00.428105,Missed,0
2025-03-13 09:47:00.707761,Missed,0
2025-03-13 09:47:01.002156,Missed,0
2025-03-13 09:47:01.368483,Detected,1
2025-03-13 09:47:01.685764,Missed,0
2025-03-13 09:47:02.042195,Missed,0
2025-03-13 09:47:02.306466,Missed,0
2025-03-13 09:47:02.572471,Missed,0
2025-03-13 09:47:02.821579,Detected,1
2025-03-13 09:47:03.141337,Missed,0
2025-03-13 09:47:03.423212,Detected,1
2025-03-13 09:47:03.673232,Detected,1
2025-03-13 09:47:03.923566,Detected,1
2025-03-13 09:47:04.158055,Detected,1
2025-03-13 09:47:04.398723,Detected,2
2025-03-13 09:47:04.639058,Detected,1
2025-03-13 09:47:04.903422,Missed,0
2025-03-13 09:47:05.169364,Missed,0
2025-03-13 09:47:05.393627,Missed,0
2025-03-13 09:47:05.633437,Detected,1
2025-03-13 09:47:05.872530,Missed,0
2025-03-13 09:47:06.123207,Missed,0
2025-03-13 09:47:06.362671,Missed,0
2025-03-13 09:47:06.604707,Detected,1
2025-03-13 09:47:06.863264,Missed,0
2025-03-13 09:47:07.097404,Detected,1
2025-03-13 09:47:07.337225,Missed,0
2025-03-13 09:47:07.593394,Missed,0
2025-03-13 09:47:07.827752,Missed,0
2025-03-13 09:47:08.122904,Detected,1
2025-03-13 09:47:08.361192,Detected,1
2025-03-13 09:47:08.603744,Missed,0
2025-03-13 09:47:08.871087,Missed,0
2025-03-13 09:47:09.126166,Missed,0
2025-03-13 09:47:09.360368,Missed,0
2025-03-13 09:47:09.600693,Missed,0
2025-03-13 09:47:09.834291,Missed,0
2025-03-13 09:47:10.074935,Missed,0
2025-03-13 09:47:10.343219,Detected,1
2025-03-13 09:47:10.599650,Detected,1
2025-03-13 09:47:10.834421,Detected,2
2025-03-13 09:47:11.099209,Missed,0
2025-03-13 09:47:11.455419,Detected,1
2025-03-13 09:47:11.784405,Missed,0
2025-03-13 09:47:12.034924,Missed,0
2025-03-13 09:47:12.252034,Detected,1
2025-03-13 09:47:12.490027,Missed,0
2025-03-13 09:47:12.733385,Missed,0
2025-03-13 09:47:13.002130,Detected,1
2025-03-13 09:47:13.253347,Detected,2
2025-03-13 09:47:13.493392,Missed,0
2025-03-13 09:47:13.734210,Detected,1
2025-03-13 09:47:14.001202,Detected,2
2025-03-13 09:47:14.251723,Missed,0
2025-03-13 09:47:14.488341,Detected,2
2025-03-13 09:47:14.731565,Detected,1
2025-03-13 09:47:14.965205,Missed,0
2025-03-13 09:47:15.230927,Missed,0
2025-03-13 09:47:15.464877,Missed,0
2025-03-13 09:47:15.699561,Missed,0
2025-03-13 09:47:16.007705,Missed,0
